949,978,998,998,1023,1,1,1,1
978,1007,1045,1045,1077,1,1,1,1
1007,1036,1045,1045,1077,1,1,1,1
1036,1065,1087,1087,1112,1,1,1,1
1065,1094,1134,1134,1166,1,1,1,1
1094,1123,1134,1134,1166,1,1,1,1
1123,1152,1199,1367,1473,3,1,1,1
1152,1181,1199,1367,1473,3,1,1,1
1181,1210,1270,1367,1473,2,1,1,1
1210,1239,1270,1367,1473,2,1,1,1
1239,1268,1270,1367,1473,2,1,1,1
1268,1297,1367,1367,1473,1,1,1,1
1297,1326,1367,1367,1473,1,1,1,1
1326,1355,1367,1367,1473,1,1,1,1
1355,1384,1489,1489,1546,1,1,1,1
1384,1413,1489,1489,1546,1,1,1,1
1413,1442,1489,1489,1546,1,1,1,1
1442,1471,1489,1489,1546,1,1,1,1
1471,1500,1583,1634,1667,2,1,1,1
1500,1529,1583,1634,1667,2,1,1,1
1529,1558,1583,1634,1667,2,1,1,1
1558,1587,1634,1634,1667,1,1,1,1
1587,1616,1634,1634,1667,1,1,1,1
1616,1645,1680,1680,1712,1,1,1,1
1645,1674,1680,1680,1712,1,1,1,1
1674,1703,1862,1862,1943,1,1,1,1
1703,1732,1862,1862,1943,1,1,1,1
1732,1761,1862,1862,1943,1,1,1,1
1761,1790,1862,1862,1943,1,1,1,1
1790,1819,1862,1862,1943,1,1,1,1
1819,1848,1862,1862,1943,1,1,1,1
1848,1877,1980,1980,2037,1,1,1,1
1877,1906,1980,1980,2037,1,1,1,1
1906,1935,1980,1980,2037,1,1,1,1
1935,1964,1980,1980,2037,1,1,1,1
1964,1993,2052,2052,2096,1,1,1,1
1993,2022,2052,2052,2096,1,1,1,1
2022,2051,2052,2052,2096,1,1,1,1
2051,2080,2116,2116,2148,1,1,1,1
2080,2109,2116,2116,2148,1,1,1,1
2109,2138,2158,2158,2183,1,1,1,1
2138,2167,2197,2197,2229,1,1,1,1
2167,2196,2197,2197,2229,1,1,1,1
2196,2225,2251,2251,2276,1,1,1,1
2225,2254,2296,2296,2328,1,1,1,1
2254,2283,2296,2296,2328,1,1,1,1
2283,2312,2350,2350,2382,1,1,1,1
2312,2341,2350,2350,2382,1,1,1,1
2341,2370,2400,2400,2432,1,1,1,1
2370,2399,2400,2400,2432,1,1,1,1
2399,2428,2458,2458,2490,1,1,1,1
2428,2457,2458,2458,2490,1,1,1,1
2457,2486,2511,2511,2536,1,1,1,1
2486,2515,2558,2602,2623,2,1,1,1
2515,2544,2558,2602,2623,2,1,1,1
2544,2573,2602,2602,2623,1,1,1,1
2573,2602,2602,2602,2623,1,1,1,1
2602,2631,2650,2650,2675,1,1,1,1
2631,2660,2694,2694,2726,1,1,1,1
2660,2689,2694,2694,2726,1,1,1,1
2689,2718,2740,2740,2765,1,1,1,1
2718,2747,2783,2783,2815,1,1,1,1
2747,2776,2783,2783,2815,1,1,1,1
2776,2805,2826,2826,2851,1,1,1,1
2805,2834,2870,2870,2902,1,1,1,1
2834,2863,2870,2870,2902,1,1,1,1
2863,2892,2910,2910,2935,1,1,1,1
2892,2921,2947,2947,2972,1,1,1,1
2921,2950,2981,2981,3013,1,1,1,1
2950,2979,2981,2981,3013,1,1,1,1
2979,3008,3022,3118,3132,2,1,1,1
3008,3037,3118,3118,3132,1,1,1,1
3037,3066,3118,3118,3132,1,1,1,1
3066,3095,3118,3118,3132,1,1,1,1
3095,3124,3150,3181,3195,2,1,1,1
3124,3153,3181,3181,3195,1,1,1,1
3153,3182,3217,3217,3249,1,1,1,1
3182,3211,3217,3217,3249,1,1,1,1
3211,3240,3258,3258,3283,1,1,1,1
3240,3269,3298,3348,3392,2,1,1,1
3269,3298,3298,3348,3392,2,1,1,1
3298,3327,3348,3348,3392,1,1,1,1
3327,3356,3411,3411,3443,1,1,1,1
3356,3385,3411,3411,3443,1,1,1,1
3385,3414,3463,3463,3495,1,1,1,1
3414,3443,3463,3463,3495,1,1,1,1
3443,3472,3517,3517,3549,1,1,1,1
3472,3501,3517,3517,3549,1,1,1,1
3501,3530,3564,3564,3596,1,1,1,1
3530,3559,3564,3564,3596,1,1,1,1
